"","station","date","longitude","latitude","z","i_z","i_0","chlorophyll","turbid","a_z","k","a_ch"
"1",32,2018-08-05,-41.02518,0.7505,5,49.352,49.352,0.1393,0.3077,0,NA,0
"2",32,2018-08-05,-41.02518,0.7505,10,32.013,49.352,0.1281,0.3178,5,-0.08656724432096,0.2674
"3",32,2018-08-05,-41.02518,0.7505,15,21.61,32.013,0.1535,0.3127,5,-0.0785971799567486,0.2816
"4",32,2018-08-05,-41.02518,0.7505,20,15.748,21.61,0.2361,0.3122,5,-0.0632885594874607,0.3896
"5",32,2018-08-05,-41.02518,0.7505,25,11.545,15.748,0.3019,0.3079,5,-0.0620921860550065,0.538
"6",32,2018-08-05,-41.02518,0.7505,30,8.8978,11.545,0.3156,0.3113,5,-0.0520896775272668,0.6175
"7",32,2018-08-05,-41.02518,0.7505,35,6.7576,8.8978,0.3167,0.3114,5,-0.0550272515477949,0.6323
"8",32,2018-08-05,-41.02518,0.7505,40,5.1911,6.7576,0.3426,0.3119,5,-0.0527444353321294,0.6593
"9",32,2018-08-05,-41.02518,0.7505,45,3.9735,5.1911,0.3693,0.3147,5,-0.0534596604744811,0.7119
"10",32,2018-08-05,-41.02518,0.7505,50,3.1122,3.9735,0.4109,0.308,5,-0.0488634893589649,0.7802
"11",32,2018-08-05,-41.02518,0.7505,60,1.602,3.1122,0.559,0.3144,10,-0.0664077022957105,0.9699
"12",32,2018-08-05,-41.02518,0.7505,70,0.84353,1.602,0.5567,0.3447,10,-0.0641412660181083,1.1157
"13",32,2018-08-05,-41.02518,0.7505,80,0.38943,0.84353,0.2955,0.3015,10,-0.0772911335874209,0.8522
"14",32,2018-08-05,-41.02518,0.7505,90,0.28745,0.38943,0.1631,0.3141,10,-0.0303635199503713,0.4586
"15",32,2018-08-05,-41.02518,0.7505,100,0.14891,0.28745,0.1022,0.2904,10,-0.0657706835467186,0.2653
"16",32,2018-08-05,-41.02518,0.7505,120,0.04826,0.14891,0.1179,0.2914,20,-0.0563369518202614,0.2201
"17",32,2018-08-05,-41.02518,0.7505,140,0,0.04826,0.0913,0.2884,0,NA,0
