treated.gr_N,treaded.gr_C,nontreated_N,nontreated_C,treated_N,treated_C
13.67148273,-12.49931382,13.98564295,-12.8667573,13.5032835,-12.48313203
13.77410938,-12.71222148,13.63381629,-12.89401489,13.84083313,-12.78094639
14.25037674,-13.27085062,14.08558211,-13.39272774,14.60057476,-13.35739383
14.34005051,-13.28808601,14.1273934,-13.40585176,14.25894597,-13.19182924
11.76242779,-11.08195711,11.02010114,-11.56243138,11.57282592,-11.01627014
14.92890827,-12.97075221,14.69643478,-13.30792636,14.91670886,-12.91925339
15.0444878,-13.14817526,14.43332962,-13.25643982,15.32360404,-13.09996109
14.8312635,-12.89268606,14.67195988,-12.91218661,14.97585653,-12.78801317
15.07537543,-12.68586148,15.19487092,-13.17944082,14.97583168,-12.79894338
15.81667861,-12.8825476,15.71316283,-12.90310075,15.80392391,-12.68100191
12.22457088,-11.12237589,12.17348071,-11.58565081,12.4008933,-11.35446611
16.00198381,-12.17679278,16.00339827,-12.87544551,15.92567466,-12.3691222
13.71680837,-13.14325736,13.81533845,-13.30590728,13.55019372,-12.83445202
14.82154227,-13.04418463,14.63014859,-12.959635,14.89019439,-12.89704351
13.8801775,-12.76617442,13.88876314,-13.14438085,13.96014826,-13.0626081
14.49878863,-12.69540819,13.93057443,-12.88190041,14.34664769,-12.69513547
13.95090437,-13.2514286,13.64707352,-13.03232189,13.99074188,-13.23624901
13.42991625,-12.88849891,13.28811917,-13.52470702,13.67673718,-13.10696512
13.8333583,-11.93113286,13.57466862,-11.82693091,14.06824573,-11.85317896
13.60025845,-12.99869205,13.48797986,-13.24487028,13.58589141,-13.17944082
14.41411561,-12.98150596,14.13803181,-13.09790566,14.44892622,-13.0032846
14.96399217,-12.28799687,14.68411582,-12.47179612,14.97078469,-12.24329633
14.18001961,-12.70956143,13.87754548,-12.56591433,14.14574957,-12.72138352
13.98776204,-13.1574106,14.05804785,-13.30287866,13.9244557,-13.11712327
14.1162658,-12.49321895,13.92101136,-12.83518123,14.19455806,-12.65600519
13.89910441,-12.66204696,13.75748897,-12.83216141,13.81704342,-12.81102267
13.3840932,-13.02295476,12.95804621,-13.04858191,13.46678251,-13.12005101
13.62516228,-12.86120337,13.76556415,-13.14622279,13.57882563,-13.05260834
14.63127701,-11.77039241,14.30559178,-12.04197494,14.76284882,-11.84065354
14.96100371,-12.15050818,14.74367027,-12.37214202,14.91223964,-12.52816611
