"","Psammocora","Pocillopora","Stylopora","Acropora","Montipora","Fungia","Halomitra","Pavona","Coeloseris","Galaxea","Symphyllia","Lobophyllia","Porites","Goniopora","Favia","Favites","Goniastrea","Dulophyllia","Platygyra","Hydnopora","Leptastrea","Cyphastrea","Millepora","Heliopora"
"Y81R1",0,11.1,0,64.7,6,0,0,3,2,5.1,0,0,12.7,0,1,3.3,0,0,4.7,0,0,0,7.5,46.1
"Y81R2",0,7.2,0,39.7,1.5,3.3,0,2.4,0,2.7,0,0,7.1,0,2,8.5,0,0,5.4,0,0,0,0,27.1
"Y81R3",0,7.7,0,35.7,4.5,1.8,0,0,1.5,3.1,0,0,5.9,0,3,10.1,0,0,11.1,0,0,0,0,22.1
"Y81R4",0,1.5,0,40.4,3.2,1.7,0,0,0,2.4,0,0,4.1,0,0,8.8,0,0,2.6,0,0,0,0,15.4
"Y81R5",0,0.9,0,28.9,9,0,0,0,0.9,0,0,0,1.7,0,0,13.5,0,0,7.1,0,0,0,0,0
"Y81R6",0,7.2,0,8.8,17.2,0,0,0,1.9,1.3,0,0,0.9,0,0,6.3,0,0,7.4,0,0,0,0,0
"Y81R7",0,4.1,0,15.6,14.6,0,0,0,0,0,0,0,5.6,0,0,12.7,0,0,5.5,0,0,0,0,0
"Y81R8",0,4.1,0,8.3,13.4,0,0,0,0,0,0,0,7.1,0,0,7.8,0,0,4.8,0,0,0,0,0
"Y81R9",0,3.8,0,6.2,9.5,0,0,0,2.5,0,0,0,4.5,0,0,10.1,0,0,0,0,0,0,0,0
"Y81R10",0,1.6,0,7.5,35.1,0,0,0,0,0,0,0,2.6,0,0,1.1,0,0,0,0,0,0,0,0
"Y83R1",0,0,0,0,0,1.2,0,3,0,0.9,0,0,1,0,0,0,0.6,0,0,0,0,1.9,0,0
"Y83R2",0,0,0,0,2.4,3.9,0,0,0,0,0,1.2,4,0,0,2.1,0,0.9,0,0,0,0,0,0
"Y83R3",0,0,0,0,0,1,1.5,0,1.2,0,0,0,1.9,3,0,0,0,0,0,0,0,1.7,0,0
"Y83R4",0,0,0,0,0,5.3,0,0,0,0,0,0,3.2,0,0,2.3,0,0,0,0,0,0,0,0
"Y83R5",0,0,0,0,1.5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
"Y83R6",0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,1.8,0,0
"Y83R7",0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
"Y83R8",0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y83R9",0,0,0,0,0,0,0,1.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y83R10",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y84R1",0,0,0,0,1.8,3.6,0,5.3,0,2.1,0,0,5.4,0,0,0,2.1,0,0,0,3.6,2,0,0
"Y84R2",0,0,0,0,8.7,2.7,0,1.5,0,1.5,0,0,6.6,0,0,0,0.9,0,0,0,3.8,0,0,0
"Y84R3",0,0,0,0,11.6,0,0,2.1,0,0,0,0,4.4,0,0,0,1.5,0,0,0,1.6,2.2,0,0
"Y84R4",0,0,0,0,6.7,0,0,0,0,1.5,0,0,5.9,0,0,0,0,0,2.4,0,0,0,0,0
"Y84R5",0,0,0,0,11.1,0,0,3.1,0,0,0,0,2.7,0,0,0,0,0,0,0,0.9,0.6,0,0
"Y84R6",0,0,0,0,9.1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,3,0,0,2.8,0,0
"Y84R7",0,0,0,0,5,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0
