years,Y 81,Y 83,Y 84,Y 85,Y 87,Y 88
Psammocora,0,0,0,0,0,0
Pocillopora,49.2,0,0,0,1.8,4
Stylopora,0,0,0,0,0,0
Acropora,255.8,0,0,24.3,80.1,85.5
Montipora,114,9.3,109.8,205,274.5,117.7
Fungia,6.8,11.4,6.3,0.9,0,12.3
Halomitra,0,1.5,0,0,0,0
Pavona,5.4,4.5,12,12,0,8.1
Coeloseris,8.8,2.4,0,0,2.4,0
Galaxea,14.6,0.9,5.1,2.7,7.8,3
Symphyllia,0,0,0,1.5,0,0
Lobophyllia,0,1.2,0,6,0,7.2
Porites,52.2,17.4,29.4,190.2,44.9,98.4
Goniopora,0,3,0,3,0,0
Favia,6,0,0,0.8,0,2.1
Favites,82.2,6.4,0,1.8,4.8,1.2
Goniastrea,0,0.6,11.1,0,0,0
Dulophyllia,0,0.9,0,0,0,0
Platygyra,48.6,0,5.4,25.5,0,0
Hydnopora,0,0,0,0,10.5,0
Leptastrea,0,0,9.9,0,0,0
Cyphastrea,0,5.4,7.6,1.5,0,2.4
Millepora,7.5,0,0,0,2.1,0
Heliopora,110.7,0,0,0,0,0.8
,,,,,,
Years,1981,1983,1984,1985,1987,1988
